"business_id","stars_y","food","drink","price","service","ambience","sentiment_score","name","is_open","stars_x","time"
"-0TffRSXXIlBYVbb5AwfTg",4.35356200527704,"4","4","3","4","4",0.522200141282279,"IndeBlue Modern Indian Food & Spirits",0,4.5,496.577380952381
"_V6hl1oGkTV2KbGeax_HPA",3.87667009249743,"3","3","2","2","3",0.203067596193943,"Sang Kee Peking Duck House",0,4,848.577380952381
"05ev984NYfimRN0UiFrxaA",3.9375,"4","3","3","3","4",0.278024887400014,"Osteria",0,4,823
"1cncsHKApeW1ubd5d9HoJw",3.79202586206897,"2","2","2","2","2",0.0142791381041551,"Hop Sing Laundromat",0,4,579.577380952381
"23qa5SsahSsVhqAVmX6aow",4.06950354609929,"4","4","3","3","4",0.442924378019698,"Vault Brewing",0,4,529.863095238095
"3gVSrS4kffGGZT8oXHsIcw",3.52205882352941,"2","2","2","2","2",0.00187717684928109,"Pod",0,3.5,897.291666666667
"44Xh-IjWDSn7XTw1hzO50g",4.32638036809816,"4","4","3","3","4",0.391243160282907,"Dutch Eating Place",0,4.5,862.005952380952
"4J06--ty2Ydj1---IsArLw",3.51948051948052,"3","3","2","2","3",0.0874778021336634,"Cantina Los Caballitos",0,3.5,846.434523809524
"6_T2xzR74JqGCTPefAD8Tw",4.28365878725591,"4","4","3","3","4",0.368954790367497,"Morimoto",0,4.5,914.863095238095
"73UjNbSoQjQAOS45rcihFg",3.81446540880503,"3","3","2","2","3",0.199982986197782,"Cantina Dos Segundos",0,4,751.291666666667
"8j3blTZChklt3j89jxx0fw",3.91417910447761,"4","3","3","3","3",0.262536718403522,"Brauhaus Schmitz",0,4,701.434523809524
"8pqdJjefYq-a9IBSJJmKwA",4.21908809891808,"4","4","3","3","4",0.535695681823461,"The Dandelion",0,4,622.571428571429
"9PZxjhTIU7OgPIzuGi89Ew",3.97190839694656,"4","4","2","3","4",0.348603319157171,"El Vez",0,4,902.291666666667
"AmI3LIUNwsi4023hOVGu3w",3.56367663344408,"3","3","2","3","3",0.179689875802856,"Moshulu",0,3.5,823.714285714286
"aUoMG97DMJG4nmwhT6z1zA",3.672,"3","3","2","2","3",0.204883584594727,"Devon Seafood Grill",0,3.5,899.863095238095
"cOXc8c85Ms6dMEAJazLXHQ",3.76593625498008,"3","3","3","3","4",0.28249900583252,"McGillin's Olde Ale House",0,4,902.291666666667
"ctHjyadbDQAtUFfkcAFEHw",4.54940213971051,"4","4","3","4","4",0.525814536703391,"Zahav",0,4.5,760.005952380952
"CYSPKiVdoPX3erovujnE9Q",4.06574761399788,"4","4","3","3","4",0.404962544160582,"Harp & Crown",0,4,320.863095238095
"d_UJWp4IlGS4sgnjE60eBw",4.64258064516129,"4","4","3","4","4",0.683062465575434,"Longwood Gardens",0,4.5,852.005952380952
"dG-gZOWzn8iO1Rvv_fbXxA",3.89336016096579,"4","3","2","3","3",0.279888871390095,"Silk City Diner & Lounge",0,4,902.14880952381
"DZglT5FP5VNDQJU3PuRIHw",4.11360448807854,"4","4","3","3","4",0.410701045314527,"La Calaca Feliz",0,4,567.428571428571
"eJaeTZlIdM3HWCq__Ve4Wg",4.39139784946237,"4","4","3","3","4",0.566842314504808,"Tria Cafe Rittenhouse",0,4.5,867.434523809524
"ELY0HI8GDEx0jkmREVna0A",4.050395256917,"4","4","3","3","4",0.435689868133059,"Frankford Hall",0,4,603.005952380952
"eoN0GAIRV0WmwUm7FmzKgQ",3.62002567394095,"2","2","2","2","2",0.0124037538933662,"Yakitori Boy",0,3.5,780
"EtKSTHV5Qx_Q7Aur9o4kQQ",3.9490171990172,"3","3","2","2","3",0.160320234276739,"Village Whiskey",0,4,691.577380952381
"FqOCC8Y9xryaX7sIBJcrxA",4.1148429035753,"4","4","3","3","4",0.397357139013958,"Vic Sushi Bar",0,4,806.14880952381
"GAuweBrcC_wK3a0UhZjwfA",4.00686813186813,"3","3","2","2","3",0.175237718437399,"Loco Pez",0,4,584.863095238095
"gnpyyeWQ53WlDMJEq-YA_w",4.08498896247241,"4","4","3","3","4",0.309311030913662,"Tinto",0,4,820.005952380952
"gOrJeoLDOiW7muWuoE-sMg",3.07162534435262,"2","2","2","2","2",-0.0706400500184577,"Morgan's Pier",0,3,549.720238095238
"h7TO_IsmLCYmKKDVOOIeFw",4.26807760141094,"4","4","3","3","4",0.465910934424274,"Fat Salmon",0,4.5,826.857142857143
"hA8c2kWI_8DXZE1jyVxlBQ",4.33333333333333,"4","4","3","4","4",0.567640824436647,"The Couch Tomato Bistro",0,4.5,579.434523809524
"iksVwRfpWymIUUFqw0tXpw",4.50948275862069,"4","4","3","4","4",0.581391359249066,"Chubby Cattle",0,4.5,212.714285714286
"Ipkx4Sa7ybn8C6LtTqTztw",4.2962962962963,"4","4","3","3","4",0.438552911283593,"Double Knot",0,4.5,356.857142857143
"IvAa7PvfOYl0xRML5W3ebg",4.2496765847348,"4","4","3","4","4",0.500505693671312,"Yards Brewing Company",0,4,825.714285714286
"Iw8uqNPxviwcgxtruAx_LA",3.83534743202417,"3","3","2","2","3",0.234742730675867,"Good Dog Bar",0,4,839.714285714286
"iWy6Wft0MMO9Ud2wM93frg",3.90469798657718,"4","4","3","3","4",0.320342567303037,"The Sidecar Bar & Grille",0,4,847.005952380952
"j-qtdD55OLfSqfsWuQTDJg",4.14755801870454,"4","4","3","3","4",0.514989392089315,"Parc",0,4,751.434523809524
"JHRlwxxKY0JJcU97rJ-Bug",3.72779136104319,"3","3","2","3","3",0.224026124217011,"Cuba Libre Restaurant & Rum Bar - Philadelphia",0,3.5,910.291666666667
"JrG4NINLspXPNhSXg7Q07Q",3.88456375838926,"4","3","3","3","4",0.270780496229261,"Front Street Cafe",0,4,376.291666666667
"jxEMFqwDJXjCxmcm5t5jVQ",4.21012849584278,"4","4","3","3","3",0.330941351858486,"Cleavers",0,4,352.571428571429
"kVTHnhgYUw-Pmr7wgDB4_g",3.72477876106195,"2","2","2","2","2",0.076966397899442,"Distrito",0,3.5,749.720238095238
"kxKai8GE5oDMPevV7oxvbA",3.97526041666667,"4","4","3","3","4",0.344899875111878,"Tequilas Restaurant",0,4,885.285714285714
"OdIBX09glfXNVSyd0RnIeg",4.0164590747331,"4","4","3","3","4",0.340813953495747,"Monk's Cafe",0,4,903.577380952381
"of-GVqY0G_UDHXT9Xg_ADQ",4.19661335841957,"4","4","2","3","4",0.325784060490771,"Charlie Was a Sinner",0,4,446.720238095238
"OHzX-ZD9qyoeoxR8Z0dlIA",4.17067833698031,"4","4","3","3","4",0.395330535439485,"Khyber Pass Pub",0,4,629.142857142857
"prZjGYZFtZ05e80cSEYyjg",4.02766798418972,"4","4","3","3","4",0.4715817930356,"White Dog Cafe - Wayne",0,4,628.428571428571
"pXRrRf8fDv6yU3xp1E25hA",4.20636094674556,"4","4","3","3","4",0.387408473214807,"Bud & Marilyn's",0,4,382.14880952381
"Q-prSTdggNlxAEFV88BZOw",4.48309178743961,"4","4","3","4","4",0.629805289820772,"Tria Cafe Wash West",0,4.5,800.005952380952
"Qw7tz-UkPrpXaVidWuab4Q",4.55611601513241,"4","3","2","4","4",0.545370834547214,"Philadelphia Museum of Art",0,4.5,897.720238095238
"qxRTFagnexBZgDe055CjkQ",3.87740384615385,"4","4","3","3","4",0.318131806400533,"Seasons 52",0,4,662.005952380952
"R17gwW6zn9ilslbdvKdgsg",4.19335793357934,"4","4","3","3","4",0.448714830734633,"Alma de Cuba",0,4,897.720238095238
"REiAM73RkOxFqCVlEFiRWA",4.06896551724138,"3","3","2","2","3",0.265105266242192,"Tattooed Mom",0,4,909.720238095238
"RnhLCG4N9MPy6ZRzq787Cg",3.53239104829211,"3","3","2","2","3",0.134747087253418,"Devil's Alley Bar & Grille",0,3.5,827.142857142857
"S8ZFYEgMejpChID8tzKo9A",4.17136258660508,"4","4","3","3","4",0.370183897431398,"Amada",0,4,869.577380952381
"sb8-TzsXOV7IsErbpHZo3g",3.71883656509695,"4","3","2","3","4",0.279851014676847,"Positano Coast by Aldo Lamberti",0,3.5,826.714285714286
"SCjUeZfjafJ88fWWQjRh2w",3.59722222222222,"3","2","2","2","3",0.095973213986745,"El Rey",0,3.5,658.14880952381
"sTPueJEwcRDj7ZJmG7okYA",3.74729241877256,"2","2","2","2","2",0.0565000460896681,"Jim's South St",0,3.5,882.142857142857
"tMtI6ECD6hwM-nFp2kXLKQ",3.95248868778281,"3","3","2","2","3",0.221564966022159,"Tea Do",0,4,541.434523809524
"TunmRrfZb7bt53T6HJi4UQ",4.30082987551867,"4","4","3","4","4",0.491550312744631,"Bleu Sushi",0,4.5,473.714285714286
"u7cZUEGK6iJP2gvI22xY2A",4.11475409836066,"4","4","3","3","4",0.380737405331408,"Memphis Taproom",0,4,764.14880952381
"vUkiYPpbkMXA99WneLSGkQ",3.61360544217687,"2","2","2","2","2",0.0596296960804738,"Banana Leaf",0,3.5,839.714285714286
"vUrTGX_7HxqeoQ_6QCVz6g",4.45783132530121,"4","4","3","4","4",0.575964595128665,"Suraya",0,4.5,261.857142857143
"W06QBC9vkxA5CVBNVrOMRA",4.12449799196787,"4","4","3","3","4",0.463907187243542,"North Third",0,4,856.720238095238
"wB1Tin0OW1JRpaKM-E3ZYA",3.87721238938053,"4","4","3","3","4",0.320429467192266,"National Mechanics",0,4,818.720238095238
"WMkiheTT-8kRslImVLWMVw",3.88754534461911,"3","3","2","3","3",0.251777875380187,"Standard Tap",0,4,875.285714285714
"WxB8498ejPtHE7wFa89_fA",3.69027058146229,"3","3","2","2","3",0.232122378199692,"The Continental Mid-town",0,3.5,828.428571428571
"ytynqOUb3hjKeJfRj5Tshw",4.606594165372,"4","4","3","4","4",0.577985902236324,"Reading Terminal Market",0,4.5,888.428571428571
"ZGH8MzJa7Q7iIpmtzBAJAQ",3.37193460490463,"3","2","2","2","3",0.0634562163651802,"Manayunk Brewery",0,3.5,896.291666666667
"ZKPrXH_GNW_AtZ31tP3NmA",3.78805970149254,"3","3","2","3","3",0.250581358662292,"White Dog Cafe",0,4,910.720238095238
